species,common_name,status,count,url
Tyto alba,Western barn owl,Endangered,3929,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208956/Tyto_alba_woldwu.png
Motacilla flava,Western yellow wagtail,Migrating,97343,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208845/Motacilla_flava_mp86eb.png
Falco tinnunculus,Common kestrel,Common,407251,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208747/Falco_tinnunculus_khrtqx.png
Apus apus,Common swift,Endangered,134660,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208580/Apus_apus_zswri1.png
Emberiza schoeniclus,Common reed bunting,Common,216091,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208737/Emberiza_schoeniclus_yikp4d.png
Certhia brachydactyla,Short-toed treecreeper,Common,43047,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208685/Certhia_brachydactyla_dxwj8j.png
Poecile palustris,Marsh tit,Common,131425,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208897/Poecile_palustris_dlaygl.png
Aegithalos caudatus,Long-tailed tit,Common,77620,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208510/Aegithalos_caudatus_kyjpkk.png
Coccothraustes coccothraustes,Hawfinch,Common,88691,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208705/Coccothraustes_coccothraustes_rkd7us.png
Tringa totanus,Common redshank,Common,197420,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208950/Tringa_totanus_duyilq.png
Numenius arquata,Eurasian curlew,Common,199074,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208849/Numenius_arquata_o4jygt.png
Ardea alba,Great egret,Common,133707,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208590/Ardea_alba_cl3ddz.png
Calidris alba,Sanderling,Migrating,53846,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208646/Calidris_alba_n8asdu.png
Sylvia communis,Common whitethroat,Migrating,178466,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208935/Sylvia_communis_as2rya.png
Accipiter nisus,Eurasian sparrowhawk,Common,299108,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208505/Accipiter_nisus_kjulwm.png
Mergellus albellus,Smew,Common,82627,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208837/Mergellus_albellus_cgokmo.png
Cyanistes caeruleus,Eurasian blue tit,Migrating,352692,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208718/Cyanistes_caeruleus_amkbyi.png
Phalacrocorax carbo,Great cormorant,Common,442260,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208871/Phalacrocorax_carbo_f4zo97.png
Somateria mollissima,Common eider,Common,232751,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208919/Somateria_mollissima_khjqo2.png
Falco columbarius,Merlin (bird),Migrating,64945,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208741/Falco_columbarius_ybxnux.png
Motacilla alba,White wagtail,Migrating,334522,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208843/Motacilla_alba_tt0ie0.png
