species,common_name,status
Vanellus leucurus,White-tailed lapwing,Migrating
Emberiza chrysophrys,Emberiza,Common
Tringa stagnatilis,Marsh sandpiper,Common
Curruca melanocephala,Sardinian warbler,Common
Phylloscopus ibericus,Iberian chiffchaff,Common
Lanius phoenicuroides,Lanius,Migrating
Mareca sibilatrix,Chiloé wigeon,Common
Emberiza cirlus,Cirl bunting,Exotic
Calandrella brachydactyla,Greater short-toed lark,Migrating
Iduna pallida,Eastern olivaceous warbler,Common
Motacilla citreola,Citrine wagtail,Common
Gelochelidon nilotica,Gull-billed tern,Common
Cecropis semirufa,Red-breasted swallow,Common
Oenanthe pleschanka,Pied wheatear,Migrating
Prunella atrogularis,Black-throated accentor,Migrating
Bubo scandiacus,Snowy owl,Migrating
Anthus hodgsoni,Olive-backed pipit,Common
Buteo rufinus,Long-legged buzzard,Common
Calidris himantopus,Stilt sandpiper,Common
Polysticta stelleri,Steller's eider,Endangered
Hydrobates pelagicus,European storm petrel,Exotic
Bucanetes githagineus,Trumpeter finch,Common
Ardeola ralloides,Squacco heron,Common
Emberiza leucocephalos,Emberiza,Common
Aix sponsa,Wood duck,Migrating
Anas rubripes,American black duck,Migrating
Emberiza rustica,Rustic bunting,Migrating
Xenus cinereus,Terek sandpiper,Migrating
Larus delawarensis,Ring-billed gull,Common
Spatula discors,Blue-winged teal,Common
Porzana parva,Little crake,Migrating
Calidris fuscicollis,White-rumped sandpiper,Migrating
Tarsiger cyanurus,Red-flanked bluetail,Migrating
Ichthyaetus audouinii,Audouin's gull,Migrating
Oenanthe leucopyga,White-crowned wheatear,Common
Limnodromus scolopaceus,Long-billed dowitcher,Common
Carpodacus sibiricus,Siberian long-tailed rosefinch,Common
Oenanthe deserti,Desert wheatear,Migrating
Otus scops,Scops owl,Common
Anthus campestris,Tawny pipit,Common
Zoothera aurea,White's thrush,Common
Emberiza buchanani,Emberiza,Common
Aquila heliaca,Eastern imperial eagle,Endangered
Lanius schach,Long-tailed shrike,Common
Rhodostethia rosea,Ross's gull,Common
Pluvialis fulva,Pacific golden plover,Migrating
Oenanthe isabellina,Isabelline wheatear,Migrating
Calidris acuminata,Sharp-tailed sandpiper,Migrating
Pelecanus crispus,Dalmatian pelican,Endangered
Marmaronetta angustirostris,Marbled duck,Common
Calonectris diomedea,Scopoli's shearwater,Common
Ficedula albicollis,Collared flycatcher,Migrating
Vanellus spinosus,Spur-winged lapwing,Common
Phylloscopus borealis,Arctic warbler,Migrating
Botaurus lentiginosus,American bittern,Common
Acrocephalus paludicola,Aquatic warbler,Migrating
Ardea purpurea,Purple heron,Common
Thalassarche melanophris,Black-browed albatross,Common
Anser cygnoides,Swan goose,Exotic
Haliaeetus pelagicus,Steller's sea eagle,Endangered
Anthus godlewskii,Blyth's pipit,Common
Chroicocephalus philadelphia,Bonaparte's gull,Common
Vireo olivaceus,Red-eyed vireo,Endangered
Locustella lanceolata,Lanceolated warbler,Migrating
Emberiza cineracea,Emberiza,Common
Leucophaeus atricilla,Laughing gull,Common
Larus glaucescens,Glaucous-winged gull,Common
Larvivora sibilans,Rufous-tailed robin,Common
Coracias garrulus,European roller,Common
Pelecanus onocrotalus,Great white pelican,Endangered
Syrmaticus reevesii,Reeves's pheasant,Exotic
Sterna dougallii,Roseate tern,Common
Onychoprion anaethetus,Bridled tern,Common
Prunella collaris,Alpine accentor,Common
Acrocephalus agricola,Paddyfield warbler,Migrating
Tachymarptis melba,Alpine swift,Migrating
Cygnus melancoryphus,Black-necked swan,Common
Sylvia nana,Asian desert warbler,Common
Zenaida macroura,Mourning dove,Common
Cettia cetti,Cetti's warbler,Common
Alectoris rufa,Red-legged partridge,Common
Threskiornis aethiopicus,African sacred ibis,Common
Gyps rueppellii,Rüppell's vulture,Endangered
Vanellus gregarius,Sociable lapwing,Migrating
Iduna caligata,Booted warbler,Common
Cyanopica cooki,Iberian magpie,Common
Sturnus unicolor,Spotless starling,Migrating
Phylloscopus griseolus,Sulphur-bellied warbler,Common
Hippolais polyglotta,Melodious warbler,Migrating
Catharus ustulatus,Swainson's thrush,Common
Curruca iberiae,Western subalpine warbler,Common
Cecropis daurica,Eastern red-rumped swallow,Common
Anthropoides virgo,Demoiselle crane,Migrating
Emberiza melanocephala,Black-headed bunting,Migrating
Melanitta deglandi,White-winged scoter,Common
Chloephaga picta,Upland goose,Common
Uria lomvia,Thick-billed murre,Common
Grus japonensis,Red-crowned crane,Common
Calidris pusilla,Semipalmated sandpiper,Common
Phoenicopterus roseus,Greater flamingo,Common
Aegypius monachus,Cinereous vulture,Common
Emberiza cia,Rock bunting,Common
Clamator glandarius,Great spotted cuckoo,Common
Emberiza bruniceps,Red-headed bunting,Migrating
Calidris ruficollis,Red-necked stint,Migrating
Lanius cristatus,Brown shrike,Common
Sylvia sarda,Marmora's warbler,Common
Picoides tridactylus,Eurasian three-toed woodpecker,Common
Setophaga striata,Blackpoll warbler,Migrating
Charadrius asiaticus,Caspian plover,Migrating
Charadrius leschenaultii,Greater sand plover,Common
Bartramia longicauda,Upland sandpiper,Common
Pelecanus rufescens,Pink-backed pelican,Common
Phoeniconaias minor,Lesser flamingo,Common
Apus pacificus,Pacific swift,Migrating
Chroicocephalus genei,Slender-billed gull,Migrating
Psittacula eupatria,Alexandrine parakeet,Common
Chrysolophus pictus,Golden pheasant,Common
Spatula cyanoptera,Cinnamon teal,Common
Ficedula albicilla,Taiga flycatcher,Migrating
Apus affinis,Little swift,Common
Myiopsitta monachus,Monk parakeet,Common
Phylloscopus nitidus,Green warbler,Common
Puffinus gravis,Great shearwater,Common
Ichthyaetus ichthyaetus,Pallas's gull,Common
Hirundapus caudacutus,White-throated needletail,Migrating
Catharus guttatus,Hermit thrush,Common
Pernis ptilorhynchus,Crested honey buzzard,Common
Falco eleonorae,Eleonora's falcon,Common
Corvus albus,Pied crow,Common
Ara militaris,Military macaw,Endangered
Haliaeetus leucocephalus,Bald eagle,Endangered
Thalasseus elegans,Elegant tern,Migrating
Alectoris chukar,Chukar partridge,Exotic
Leucophaeus pipixcan,Franklin's gull,Common
Ptyonoprogne rupestris,Eurasian crag martin,Migrating
Falco biarmicus,Lanner falcon,Common
Zonotrichia leucophrys,White-crowned sparrow,Migrating
Turdus obscurus,Eyebrowed thrush,Migrating
Larus armenicus,Armenian gull,Common
Passer hispaniolensis,Spanish sparrow,Common
