species,common_name,status,url
Certhia brachydactyla,Short-toed treecreeper,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948005/Certhia_brachydactyla_gdk01q.png
Poecile palustris,Marsh tit,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948041/Poecile_palustris_awtiam.png
Aegithalos caudatus,Long-tailed tit,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948054/Aegithalos_caudatus_htmipu.png
Coccothraustes coccothraustes,Hawfinch,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948010/Coccothraustes_coccothraustes_qhf4az.png
Tringa totanus,Common redshank,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948050/Tringa_totanus_i6bk5w.png
Numenius arquata,Eurasian curlew,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948031/Numenius_arquata_dvjm1a.png
Ardea alba,Great egret,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947965/Ardea_alba_ir5dlg.png
Calidris alba,Sanderling,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947968/Calidris_alba_hwxcxg.png
Sylvia communis,Common whitethroat,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947995/Sylvia_communis_lm2fxf.png
Accipiter nisus,Eurasian sparrowhawk,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947962/Accipiter_nisus_btlri1.png
Mergellus albellus,Smew,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948030/Mergellus_albellus_wmrdmc.png
Cyanistes caeruleus,Eurasian blue tit,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948013/Cyanistes_caeruleus_woiqjr.png
Phalacrocorax carbo,Great cormorant,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947987/Phalacrocorax_carbo_v7gtk9.png
Somateria mollissima,Common eider,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948045/Somateria_mollissima_hryp16.png
Falco columbarius,Merlin (bird),Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948017/Falco_columbarius_yc5hmw.png
Motacilla alba,White wagtail,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948030/Motacilla_alba_os45f0.png
Pluvialis squatarola,Grey plover,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947990/Pluvialis_squatarola_ox47le.png
Anas crecca,Eurasian teal,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947971/Anas_crecca_uq9rs2.png
Branta canadensis,Canada goose,Exotic,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947999/Branta_canadensis_cmahmm.png
Phalaropus lobatus,Red-necked phalarope,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948036/Phalaropus_lobatus_ddkxxd.png
Aythya ferina,Common pochard,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947997/Aythya_ferina_qh6nmw.png
Milvus milvus,Unknown,Unknown,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948030/Milvus_milvus_nca7em.png
Sternula albifrons,Little tern,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948046/Sternula_albifrons_gkbcsq.png
Thalasseus sandvicensis,Sandwich tern,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947996/Thalasseus_sandvicensis_vnhtaw.png
Sterna hirundo,Common tern,Endangered,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948046/Sterna_hirundo_wrp4rf.png
Aythya fuligula,Tufted duck,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947966/Aythya_fuligula_p6rkei.png
Hydrocoloeus minutus,Little gull,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948022/Hydrocoloeus_minutus_gphmk5.png
Uria aalge,Common murre,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948052/Uria_aalge_pxrurk.png
Alcedo atthis,Common kingfisher,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947965/Alcedo_atthis_jitcij.png
Calidris ferruginea,Curlew sandpiper,Endangered,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948003/Calidris_ferruginea_r14fdx.png
Saxicola rubicola,European stonechat,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948044/Saxicola_rubicola_rdwp7z.png
Chroicocephalus ridibundus,Black-headed gull,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947971/Chroicocephalus_ridibundus_wjhpno.png
Pluvialis apricaria,European golden plover,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947989/Pluvialis_apricaria_bhfwu4.png
Circus cyaneus,Hen harrier,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948009/Circus_cyaneus_d0drwf.png
Dendrocopos major,Great spotted woodpecker,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948014/Dendrocopos_major_za9ilh.png
Parus major,Unknown,Unknown,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948034/Parus_major_m3q9lk.png
Gallinago gallinago,Common snipe,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948018/Gallinago_gallinago_u8p3jo.png
Acanthis flammea,Redpoll,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947962/Acanthis_flammea_acfccb.png
Tachybaptus ruficollis,Little grebe,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947995/Tachybaptus_ruficollis_lziepa.png
Luscinia luscinia,Common nightingale,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948027/Luscinia_luscinia_rpqiua.png
Buteo lagopus,Rough-legged buzzard,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947968/Buteo_lagopus_tjsfae.png
Calidris pugnax,Ruff (bird),Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947969/Calidris_pugnax_vsgszr.png
Spatula clypeata,Northern shoveler,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948045/Spatula_clypeata_p7pmnj.png
Tringa ochropus,Green sandpiper,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948050/Tringa_ochropus_jfliya.png
Cuculus canorus,Common cuckoo,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947973/Cuculus_canorus_vylctm.png
Fringilla montifringilla,Brambling,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948018/Fringilla_montifringilla_miqapm.png
Branta leucopsis,Barnacle goose,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947967/Branta_leucopsis_ujzmaf.png
Regulus ignicapilla,Common firecrest,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947992/Regulus_ignicapilla_pqdlsa.png
Prunella modularis,Dunnock,Exotic,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947991/Prunella_modularis_kysapw.png
Fulmarus glacialis,Northern fulmar,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948018/Fulmarus_glacialis_gro9d7.png
Carduelis carduelis,European goldfinch,Exotic,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948005/Carduelis_carduelis_lqhi8p.png
Fringilla coelebs,Eurasian chaffinch,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947976/Fringilla_coelebs_rsg1rr.png
Anas acuta,Northern pintail,Endangered,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947970/Anas_acuta_s34tog.png
Regulus regulus,Goldcrest,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947992/Regulus_regulus_bgv3ga.png
Falco peregrinus,Peregrine falcon,Endangered,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948016/Falco_peregrinus_lpsjgq.png
Calidris maritima,Purple sandpiper,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948004/Calidris_maritima_pzuuid.png
Anthus spinoletta,Water pipit,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947963/Anthus_spinoletta_ipc4op.png
Aythya marila,Greater scaup,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947998/Aythya_marila_zelczj.png
Corvus corax,Common raven,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948011/Corvus_corax_zh2kol.png
Turdus pilaris,Fieldfare,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948051/Turdus_pilaris_srilgw.png
Corvus frugilegus,Rook (bird),Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948011/Corvus_frugilegus_eiabb7.png
Rallus aquaticus,Water rail,Endangered,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948043/Rallus_aquaticus_agxfys.png
Erithacus rubecula,European robin,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774947975/Erithacus_rubecula_bgeoel.png
Spatula querquedula,Garganey,Migrating,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948045/Spatula_querquedula_kh328j.png
Actitis hypoleucos,Common sandpiper,Common,https://res.cloudinary.com/dnymlkh8e/image/upload/v1774948054/Actitis_hypoleucos_lbanpy.png
