,eventDate,decimalLatitude,decimalLongitude,genus,species
100891,2023-07-26,55.5841,12.53318,Rallus,Rallus aquaticus
100892,2023-07-26,55.98049,11.87597,Gavia,Gavia arctica
100894,2023-07-26,56.88916,8.39689,Podiceps,Podiceps cristatus
100895,2023-07-26,55.71273,12.51392,Apus,Apus apus
100896,2023-07-26,55.55399,12.20938,Corvus,Corvus frugilegus
100897,2000-05-03,55.91766,8.43805,Oenanthe,Oenanthe oenanthe
100898,2023-07-27,54.91668,8.8493,Chroicocephalus,Chroicocephalus ridibundus
100899,2023-07-27,54.9633,12.21555,Milvus,Milvus milvus
100900,2023-07-27,56.34781,10.00721,Acrocephalus,Acrocephalus schoenobaenus
100901,2023-07-27,55.92918,9.20786,Columba,Columba palumbus
100902,2014-05-31,57.74509,10.63559,Aquila,Aquila nipalensis
100903,2014-05-31,55.90735,9.40195,Certhia,Certhia familiaris
100904,2014-06-01,55.05254,12.27918,Sturnus,Sturnus vulgaris
100905,2014-06-01,54.8105,10.68128,Recurvirostra,Recurvirostra avosetta
100906,2014-06-01,55.73969,10.88499,Chroicocephalus,Chroicocephalus ridibundus
100907,2014-05-31,55.08358,11.76241,Numenius,Numenius arquata
100908,2014-06-01,55.49916,10.49123,Fulica,Fulica atra
100909,2014-06-01,54.59638,11.50005,Stercorarius,Stercorarius parasiticus
100910,2014-06-01,56.46627,8.41869,Jynx,Jynx torquilla
100911,2014-06-02,54.94131,9.76999,Tachybaptus,Tachybaptus ruficollis
100912,2014-06-02,55.64184,12.00299,Sterna,Sterna hirundo
100913,2014-06-01,56.71642,11.51251,Tringa,Tringa totanus
100914,2014-06-02,55.78106,12.44616,Bucephala,Bucephala clangula
100915,2014-06-03,56.21593,10.22449,Acanthis,Acanthis flammea
100916,2014-06-03,56.46608,9.74659,Acanthis,Acanthis flammea
100917,2014-06-03,55.74815,11.99909,Charadrius,Charadrius hiaticula
100918,2023-07-28,56.53722,10.40401,Tringa,Tringa nebularia
